Date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-03-02,MI,18,0,0,0,0,0,0,0,0,0,2020-03-02T21:00:00Z,0,0,18,18,0,0,0,9,9
2020-03-02,RI,1,0,0,0,0,0,0,0,0,0,2020-03-02T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-02,WA,34,229,0,0,0,0,0,0,0,0,2020-03-02T21:00:00Z,11,0,263,263,3,0,148,4,152
2020-03-03,MI,34,0,0,0,0,0,0,0,0,0,2020-03-03T21:00:00Z,0,0,34,34,0,0,0,16,16
2020-03-03,RI,2,6,0,0,0,0,0,0,0,0,2020-03-03T21:00:00Z,0,0,8,8,0,0,6,1,7
2020-03-03,WA,58,427,0,0,0,0,0,0,0,0,2020-03-03T21:00:00Z,14,0,485,485,3,0,198,24,222
2020-03-04,AZ,2,27,5,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,29,29,0,0,0,0,0
2020-03-04,CA,53,462,0,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,515,515,0,0,0,0,0
2020-03-04,FL,2,24,16,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,26,26,0,0,0,0,0
2020-03-04,GA,2,0,0,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,2,2,0,0,0,0,0
2020-03-04,IL,4,124,27,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,128,128,0,0,0,0,0
2020-03-04,MI,52,0,0,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,52,52,0,0,0,18,18
2020-03-04,NC,1,0,0,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,1,1,0,0,0,0,0
2020-03-04,NH,2,10,7,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,12,12,0,0,0,0,0
2020-03-04,NY,6,48,24,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,54,54,0,0,0,0,0
2020-03-04,OR,3,29,18,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,32,32,0,0,0,0,0
2020-03-04,RI,2,11,0,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,13,13,0,0,5,0,5
2020-03-04,SC,0,5,0,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,5,5,0,0,0,0,0
2020-03-04,TX,1,0,0,0,0,0,0,0,0,0,2020-03-04T21:00:00Z,0,0,1,1,0,0,0,0,0
